,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
9816,Faces in the Crowd,2011,103,"Crime,Drama,Mystery",5.8,17596,,,,,,,,,
9817,Rushlights,2013,98,"Crime,Drama,Romance",5.9,2291,,,,,,,,,
9818,Broken Blood,2013,82,"Drama,Thriller",7.3,68,,,,,,,,,
9819,The Flying Machine,2011,85,"Adventure,Animation,Family",4.9,278,,,,,,,,,
9820,The Flying Machine,2011,85,"Adventure,Animation,Family",4.9,278,,,,,,,,,
9821,Loving Vincent,2017,94,"Animation,Biography,Crime",7.8,39737,,,,,,,,,
9822,The Milagro Man: The Irrepressible Multicultural Life and Literary Times of John Nichols,2012,78,"Biography,Documentary",8.5,24,,,,,,,,,
9823,A Girl Like Her,2015,91,Drama,7.1,6369,,,,,,,,,
9824,Leap Year,2010,94,"Drama,Romance",5.9,2211,,,,,,,,,
9825,Early Winter,2015,96,Drama,5.9,112,,,,,,,,,
9826,The International Sign for Choking,2011,80,"Comedy,Drama,Romance",6.2,25,,,,,,,,,
9827,Angel & Tony,2010,83,Drama,6.6,865,,,,,,,,,
9828,The Last Hammer Blow,2014,82,Drama,6.6,402,,,,,,,,,
9829,Panamericana - Life at the Longest Road on Earth,2010,99,Documentary,6.3,21,,,,,,,,,
9830,Cloned: The Recreator Chronicles,2012,90,"Sci-Fi,Thriller",4.3,1398,,,,,,,,,
9831,The Return of Joe Rich,2011,95,"Comedy,Drama",4,187,,,,,,,,,
9832,The Sun Behind the Clouds: Tibet's Struggle for Freedom,2010,79,"Biography,Documentary,History",6.6,146,,,,,,,,,
9833,Coal Rush,2012,90,Documentary,6.8,13,,,,,,,,,
9834,The Guard,2011,96,"Comedy,Crime,Thriller",7.3,75183,,,,,,,,,
9835,Calvary,2014,102,Drama,7.4,52266,,,,,,,,,
9836,War on Everyone,2016,98,"Action,Comedy",5.8,15302,,,,,,,,,
9837,Apartment 1303 3D,2012,85,Horror,2.6,5323,,,,,,,,,
9838,When China Met Africa,2010,90,"Adventure,Documentary,Family",6.3,91,,,,,,,,,
9839,Walk with Me,2017,94,Documentary,6.2,708,,,,,,,,,
9840,The Horror Pages,2012,95,Horror,7.2,17,,,,,,,,,
9841,Lost Songs of Anatolia,2010,96,"Documentary,Music",7.9,732,,,,,,,,,
9842,Circo,2010,75,Documentary,7.1,234,,,,,,,,,
9843,Love,2011,84,"Drama,Music,Sci-Fi",5.6,8251,,,,,,,,,
9844,The Signal,2014,97,"Drama,Mystery,Sci-Fi",6.1,58407,,,,,,,,,
9845,127 Hours,2010,94,"Adventure,Biography,Drama",7.6,323949,,,,,,,,,
9846,Late Autumn,2010,116,Drama,6.8,1411,,,,,,,,,
9847,True Memoirs of an International Assassin,2016,98,"Action,Comedy,Crime",5.9,17199,,,,,,,,,
9848,Kick-Ass 2,2013,103,"Action,Comedy,Crime",6.6,238832,,,,,,,,,
9849,Truth or Dare,2018,100,"Horror,Thriller",5.2,33621,,,,,,,,,
9850,Unforgiven,2013,135,"Action,Crime,Drama",7.2,2010,,,,,,,,,
9851,Rage,2016,142,"Drama,Mystery,Thriller",7.1,1788,,,,,,,,,
9852,Carancho,2010,107,"Crime,Drama,Romance",6.9,7084,,,,,,,,,
9853,The Clan,2015,108,"Biography,Crime,Drama",7,10771,,,,,,,,,
9854,The Last Employee,2010,88,Horror,6.2,405,,,,,,,,,
9855,Plans for Tomorrow,2010,96,Drama,6.6,232,,,,,,,,,
9856,We Are Pregnant,2016,100,Comedy,5.5,1338,,,,,,,,,
9857,"2 Francs, 40 Pesetas",2014,99,"Comedy,Drama",6,368,,,,,,,,,
9858,War Games,2011,93,"Action,Horror,Thriller",4.5,1104,,,,,,,,,
9859,Street Days,2010,89,Drama,7.8,1037,,,,,,,,,
9860,Blind Dates,2013,99,Comedy,7,432,,,,,,,,,
9861,Sergej in der Urne,2010,105,"Biography,Documentary,Family",6.6,5,,,,,,,,,
9862,Hero Man,2010,100,Comedy,6.2,13,,,,,,,,,
9863,Beyond the Road,2010,85,"Drama,Romance",6.8,209,,,,,,,,,
9864,Vermelho Russo,2016,90,Drama,6.4,131,,,,,,,,,
9865,Un altro mondo,2010,110,Drama,6.4,264,,,,,,,,,
9866,Needle,2010,90,"Horror,Mystery,Thriller",4.9,2593,,,,,,,,,
9867,The Gateway,2018,90,Sci-Fi,5.5,3977,,,,,,,,,
9868,Freddy Frogface,2011,78,"Animation,Comedy,Family",5.1,454,,,,,,,,,
9869,The Beast,2010,77,"Documentary,Drama",7.3,53,,,,,,,,,
9870,Chillerama,2011,120,"Comedy,Horror",5.7,3841,,,,,,,,,
9871,Everly,2014,92,"Action,Thriller",5.1,15874,,,,,,,,,
9872,All That Divides Us,2017,99,Thriller,4.9,290,,,,,,,,,
9873,Are You Here,2013,114,"Comedy,Drama",5.3,14178,,,,,,,,,
9874,Point Blank,2010,81,"Action,Crime,Drama",6.8,12706,,,,,,,,,
9875,Mea culpa,2014,90,"Action,Crime,Thriller",6.1,2454,,,,,,,,,
9876,The Slut,2011,87,Drama,4.4,633,,,,,,,,,
9877,Joy,2018,99,Drama,6.5,430,,,,,,,,,
9878,The Squad,2011,108,"Horror,Thriller",5.3,1405,,,,,,,,,
9879,The Sacrifice,2017,98,Drama,5.1,66,,,,,,,,,
9880,Without Men,2011,87,Comedy,3.3,1576,,,,,,,,,
9881,How to Break Up with Your Douchebag,2017,100,Comedy,5.1,578,,,,,,,,,
9882,Smoked,2012,98,"Action,Comedy,Crime",5.1,10,,,,,,,,,
9883,Unlikely Revolutionaries,2010,102,"Comedy,Crime",6.1,382,,,,,,,,,
9884,La voz de los silenciados,2013,80,,7.7,79,,,,,,,,,
9885,Jo's Boy,2011,97,"Comedy,Drama",5.8,495,,,,,,,,,
9886,We Were Young,2015,86,"Comedy,Drama",5.4,274,,,,,,,,,
9887,Siren,2010,86,Horror,3.6,1756,,,,,,,,,
9888,The Burn,2010,65,"Documentary,Drama",6.2,28,,,,,,,,,
9889,Pure Country 2: The Gift,2010,112,"Drama,Music,Musical",5.1,662,,,,,,,,,
9890,Another Earth,2011,92,"Drama,Romance,Sci-Fi",7,85839,,,,,,,,,
9891,I Origins,2014,106,"Drama,Romance,Sci-Fi",7.4,104718,,,,,,,,,
9892,White Irish Drinkers,2010,109,Drama,6.8,1698,,,,,,,,,
9893,"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie",2010,100,"Biography,Documentary",6.2,165,,,,,,,,,
9894,Jack the Reaper,2011,88,Horror,3.5,833,,,,,,,,,
9895,Tomme tønner,2010,87,"Comedy,Crime",5.6,1369,,,,,,,,,
9896,The Regulars,2017,95,"Crime,Drama",5.9,173,,,,,,,,,
9897,The Dish & the Spoon,2011,92,"Comedy,Drama,Romance",5.8,1052,,,,,,,,,
9898,Six Shooters,2010,100,"Action,Adventure,Drama",5.9,385,,,,,,,,,
9899,Close,2019,94,"Action,Thriller",5.6,15078,,,,,,,,,
9900,Cure: The Life of Another,2014,83,"Drama,Mystery,Thriller",5.7,230,,,,,,,,,
9901,Country Strong,2010,117,"Drama,Music",6.3,16296,,,,,,,,,
9902,Endless Love,2014,104,"Drama,Romance",6.3,37869,,,,,,,,,
9903,Boundaries,2018,104,"Comedy,Drama",4.7,1604,,,,,,,,,
9904,Mary Queen of Scots,2013,119,"Biography,Drama,History",5.5,753,,,,,,,,,
9905,Day Is Done,2011,111,Documentary,7.2,57,,,,,,,,,
9906,Land of Oblivion,2011,108,Drama,6.4,691,,,,,,,,,
9907,The Seasoning House,2012,90,"Drama,Horror,Thriller",6.1,8626,,,,,,,,,
9908,The Burningmoore Incident,2010,86,"Horror,Thriller",5,88,,,,,,,,,
9909,Nostalgia for the Light,2010,90,Documentary,7.6,4242,,,,,,,,,
9910,Apaporis: In Search of One River,2010,72,"Biography,Documentary",7.8,48,,,,,,,,,
9911,Stones in the Sun,2012,95,Drama,7.5,65,,,,,,,,,
9912,The Locksmith,2010,88,"Biography,Comedy,Crime",5.5,204,,,,,,,,,
9913,Do Not Disturb,2011,69,Comedy,5.9,96,,,,,,,,,
9914,Do Not Disturb,2011,69,Comedy,5.9,96,,,,,,,,,
9915,GasLand,2010,107,Documentary,7.7,9940,,,,,,,,,
9916,Gasland Part II,2013,125,Documentary,7.7,1515,,,,,,,,,
9917,Half Empty,2011,103,Drama,8.3,28,,,,,,,,,
9918,What the Day Owes the Night,2012,162,"Drama,Romance",7.8,2303,,,,,,,,,
9919,24 Days,2014,110,"Drama,Thriller",6.2,573,,,,,,,,,
9920,Freedom Riders,2010,117,"Documentary,History",8.2,214,,,,,,,,,
9921,Red Army,2014,84,"Biography,Documentary,History",7.6,6140,,,,,,,,,
9922,Beautiful Creatures,2013,124,"Drama,Fantasy,Romance",6.2,79764,,,,,,,,,
9923,Boy,2010,87,"Comedy,Drama",7.5,16672,,,,,,,,,
9924,What We Do in the Shadows,2014,86,"Comedy,Horror",7.7,126299,,,,,,,,,
9925,Hunt for the Wilderpeople,2016,101,"Adventure,Comedy,Drama",7.9,87532,,,,,,,,,
9926,Russian Lessons,2010,110,Documentary,7.9,171,,,,,,,,,
9927,Crying Wolf 3D,2015,91,"Action,Comedy,Horror",2.4,184,,,,,,,,,
9928,The Devil Inside,2012,83,Horror,4.2,33522,,,,,,,,,
9929,Wer,2013,89,"Action,Horror,Mystery",5.9,7221,,,,,,,,,
9930,"L'amour, c'est mieux à deux",2010,100,"Comedy,Romance",5.8,1381,,,,,,,,,
9931,Dépression et des potes,2012,95,Comedy,5.2,687,,,,,,,,,
9932,Burn Out the Day,2010,88,"Comedy,Drama,Romance",4.5,11,,,,,,,,,
9933,Chosin,2010,86,"Documentary,History,War",8.3,238,,,,,,,,,
9934,Out of the Shadows,2017,88,Thriller,3.5,234,,,,,,,,,
9935,Essential Killing,2010,83,"Thriller,War",6.1,7054,,,,,,,,,
9936,11 Minutes,2015,81,"Drama,Thriller",5.7,1493,,,,,,,,,
9937,The Newburgh Sting,2014,87,Documentary,7.4,399,,,,,,,,,
9938,Jerusalem Countdown,2011,85,Thriller,4.1,1175,,,,,,,,,
9939,The Adventures of Mickey Matson and the Copperhead Treasure,2016,94,"Family,Mystery,Thriller",5.1,589,,,,,,,,,
9940,Division III: Football's Finest,2011,98,"Comedy,Romance,Sport",5.6,1430,,,,,,,,,
9941,Ra.One,2011,156,"Action,Adventure,Sci-Fi",4.8,35625,,,,,,,,,
9942,Zindagi Na Milegi Dobara,2011,155,"Comedy,Drama",8.1,58912,,,,,,,,,
9943,Dil Dhadakne Do,2015,170,"Comedy,Drama,Romance",6.8,12754,,,,,,,,,
9944,Jinn,2014,97,"Fantasy,Horror,Thriller",4.2,4271,,,,,,,,,
9945,To Die Is Hard,2010,87,"Action,Comedy",7.1,51,,,,,,,,,
9946,The Worst Movie Ever!,2011,76,"Action,Comedy,Musical",4,154,,,,,,,,,
9947,The Fear,2013,72,Drama,6.6,130,,,,,,,,,
9948,Absolution,2015,96,"Action,Adventure,Crime",4.5,2777,,,,,,,,,
9949,One Fall,2016,90,Drama,5.3,197,,,,,,,,,
9950,Overboard,2018,112,"Comedy,Romance",5.9,25607,,,,,,,,,
9951,Barracuda,2013,94,"Action,Adventure",5.5,43,,,,,,,,,
9952,Tanna,2015,104,"Adventure,Drama,Romance",6.9,3564,,,,,,,,,
9953,Intruder,2016,88,"Horror,Mystery,Thriller",3.3,854,,,,,,,,,
9954,The Scarapist,2015,81,"Crime,Drama,Horror",7.4,95,,,,,,,,,
9955,Piazza Fontana: The Italian Conspiracy,2012,129,"Crime,Drama,Mystery",7.2,1858,,,,,,,,,
9956,Auf der sicheren Seite,2010,80,Documentary,7.3,19,,,,,,,,,
9957,Savage,2011,90,"Drama,Thriller",4.9,334,,,,,,,,,
9958,Romantics Anonymous,2010,80,"Comedy,Romance",6.9,9894,,,,,,,,,
9959,Marie's Story,2014,95,"Biography,Drama",7.5,1456,,,,,,,,,
9960,Genau,2011,,"Comedy,Drama,Thriller",7.7,6,,,,,,,,,
9961,Pretty Old,2012,86,Documentary,6.3,26,,,,,,,,,
9962,Waiting for 'Superman',2010,111,Documentary,7.5,10294,,,,,,,,,
9963,Bluebird,2013,90,Drama,5.8,782,,,,,,,,,
9964,Into the Cold: A Journey of the Soul,2010,85,"Action,Adventure,Documentary",6.8,142,,,,,,,,,
9965,Chicken with Plums,2011,93,"Comedy,Drama",7,8310,,,,,,,,,
9966,Gang of the Jotas,2012,75,"Comedy,Crime",5.5,102,,,,,,,,,
9967,Get the Gringo,2012,96,"Action,Crime,Drama",7,98014,,,,,,,,,
9968,Land Ho!,2014,95,"Adventure,Comedy",5.9,2366,,,,,,,,,
9969,Joan Rivers: A Piece of Work,2010,84,"Biography,Comedy,Documentary",7.4,3496,,,,,,,,,
9970,In My Father's House,2015,93,"Documentary,Drama,Family",6.9,73,,,,,,,,,
9971,The Tillman Story,2010,94,"Biography,Documentary,Mystery",7.8,4321,,,,,,,,,
9972,A Family,2010,102,Drama,6.7,1132,,,,,,,,,
9973,Someone You Love,2014,95,Drama,6.4,900,,,,,,,,,
9974,Becoming Astrid,2018,123,"Biography,Drama",7.2,2497,,,,,,,,,
9975,Phase 7,2010,95,"Sci-Fi,Thriller",5.9,2968,,,,,,,,,
9976,Vlast (Power),2010,88,Documentary,7,165,,,,,,,,,
9977,When Marnie Was There,2014,103,"Animation,Drama,Family",7.7,24586,,,,,,,,,
9978,Mary and the Witch's Flower,2017,103,"Adventure,Animation,Family",6.8,8594,,,,,,,,,
9979,A Film Unfinished,2010,88,"Documentary,Drama,History",7.3,1627,,,,,,,,,
9980,Suicide Club,2010,96,"Adventure,Comedy,Drama",6.1,231,,,,,,,,,
9981,Rebounce,2011,92,Drama,5.7,273,,,,,,,,,
9982,Together Is Too Much,2010,96,Comedy,5.4,341,,,,,,,,,
9983,For Ellen,2012,94,Drama,6,1728,,,,,,,,,
9984,Henry,2010,84,,5.4,51,,,,,,,,,
9985,Feed Me with Your Words,2012,88,Drama,6.2,87,,,,,,,,,
9986,Tiny Furniture,2010,98,"Comedy,Drama,Romance",6.2,13397,,,,,,,,,
9987,Code of the West,2012,75,"Documentary,Western",7.6,38,,,,,,,,,
9988,The Skeleton Twins,2014,93,"Comedy,Drama,Romance",6.8,36793,,,,,,,,,
9989,Alex Strangelove,2018,99,"Comedy,Drama,Romance",6.3,11358,,,,,,,,,
9990,Neukölln Unlimited,2010,96,Documentary,7.2,91,,,,,,,,,
9991,Opstandelsen,2010,50,"Action,Drama,Horror",4.6,277,,,,,,,,,
9992,Honey,2010,103,Drama,7.2,6221,,,,,,,,,
9993,The Hike,2011,83,Horror,3.8,1414,,,,,,,,,
9994,Don't Blink,2014,92,"Horror,Mystery,Thriller",4.8,5051,,,,,,,,,
9995,The Last Circus,2010,107,"Comedy,Drama,Horror",6.6,12183,,,,,,,,,
9996,Witching and Bitching,2013,112,"Action,Comedy,Fantasy",6.4,12267,,,,,,,,,
9997,Late Bloomers,2011,95,Drama,5.7,876,,,,,,,,,
9998,Robin Hood: Ghosts of Sherwood,2012,116,"Action,Adventure,Mystery",1.7,468,,,,,,,,,
9999,Burning Daylight,2010,102,Crime,5.4,203,,,,,,,,,
10000,Ayla,2010,83,Drama,6,80,,,,,,,,,
10001,Housefull,2010,144,Comedy,5.5,11089,,,,,,,,,
10002,Himmatwala,2013,150,"Action,Comedy,Drama",1.7,7384,,,,,,,,,
10003,Humshakals,2014,159,Comedy,1.8,7095,,,,,,,,,
10004,The Kirishima Thing,2012,103,Drama,7.4,1650,,,,,,,,,
10005,BoardHeads,2010,85,"Action,Documentary,Family",6.6,14,,,,,,,,,
10006,14 Days with Victor,2010,88,Drama,5.8,44,,,,,,,,,
10007,Brother and Sister,2010,105,"Comedy,Drama",6.6,669,,,,,,,,,
10008,Inuk,2010,90,"Adventure,Drama",7,285,,,,,,,,,
10009,The Last Suit,2017,91,Drama,7.1,409,,,,,,,,,
10010,Eva and Lola,2010,87,"Drama,Music,Romance",6.2,100,,,,,,,,,
10011,Hitler in Hollywood,2010,85,Drama,5.8,148,,,,,,,,,
10012,Lily Sometimes,2010,103,Drama,6.2,1175,,,,,,,,,
10013,It's Your Fault,2010,87,"Drama,Family",6.7,250,,,,,,,,,
10014,The Whirl,2012,110,"Action,Drama,Fantasy",6.8,680,,,,,,,,,
10015,Underground,2010,83,"Action,Drama",6.9,60,,,,,,,,,
10016,Break Ke Baad,2010,118,"Comedy,Drama,Romance",5.2,3651,,,,,,,,,
10017,One Night,2010,,Sci-Fi,4.6,36,,,,,,,,,
10018,Re-Generator,2010,94,"Action,Sci-Fi",2.8,87,,,,,,,,,
10019,Sector 4: Extraction,2014,91,"Action,War",2.5,779,,,,,,,,,
10020,The Cover Page,2010,112,"Drama,Family",6,5,,,,,,,,,
10021,The Shark Con,2010,86,"Documentary,Drama,News",7.3,10,,,,,,,,,
10022,Bad Writing,2010,90,"Comedy,Documentary",7.9,16,,,,,,,,,
10023,Chasing Coral,2017,93,Documentary,8.1,3162,,,,,,,,,
10024,Mother Krampus 2: Slay Ride,2018,96,Horror,3.2,119,,,,,,,,,
10025,Silver Tongues,2011,87,Drama,6.8,699,,,,,,,,,
10026,Ijjodu,2010,,Drama,5.9,10,,,,,,,,,
10027,The Edge,2010,100,Drama,4.9,130,,,,,,,,,
10028,Don't Blink - Robert Frank,2015,82,"Biography,Documentary,History",6.9,235,,,,,,,,,
10029,Daydream Nation,2010,98,"Drama,Romance",6.4,11759,,,,,,,,,
10030,Big Fat Gypsy Gangster,2011,91,"Action,Comedy,Crime",3.5,799,,,,,,,,,
10031,Axed,2012,84,"Drama,Horror,Thriller",3.7,849,,,,,,,,,
10032,The Jewel,2011,110,Drama,6.8,1001,,,,,,,,,
10033,Slam,2016,100,"Comedy,Drama,Romance",6.2,883,,,,,,,,,
10034,Guilty,2011,102,"Biography,Crime,Drama",7.3,1606,,,,,,,,,
10035,The Clearstream Affair,2014,106,Thriller,6.6,757,,,,,,,,,
10036,Kalinka,2016,87,"Biography,Crime,Drama",7,1757,,,,,,,,,
10037,Life's a Breeze,2013,83,"Comedy,Drama",6.3,977,,,,,,,,,
10038,Wine,2010,76,"Comedy,Drama,Romance",7.1,8,,,,,,,,,
10039,A Birder's Guide to Everything,2013,86,"Adventure,Comedy,Drama",6.3,1937,,,,,,,,,
10040,Star Boys,2017,82,Drama,5.7,162,,,,,,,,,
10041,Dhammu,2012,155,"Action,Drama",5.3,1682,,,,,,,,,
10042,Sarrainodu,2016,159,"Action,Drama",6.4,3229,,,,,,,,,
10043,Suomea rakentamassa,2010,68,Documentary,4.8,5,,,,,,,,,
10044,Swing Game,2015,83,Documentary,6.3,31,,,,,,,,,
10045,Suomea rakentamassa,2010,68,Documentary,4.8,5,,,,,,,,,
10046,A Barefoot Dream,2010,121,"Drama,Sport",7,332,,,,,,,,,
10047,Wake Up and Die,2011,88,"Horror,Thriller",4.4,382,,,,,,,,,
10048,Steam of Life,2010,81,Documentary,8,2341,,,,,,,,,
10049,Steam of Life,2010,81,Documentary,8,2341,,,,,,,,,
10050,Rammbock,2010,63,"Action,Drama,Horror",6.3,4884,,,,,,,,,
10051,Blood Glacier,2013,98,"Horror,Mystery,Sci-Fi",5.4,3121,,,,,,,,,
10052,Love Meet Hope,2016,90,"Comedy,Drama,Fantasy",7.5,82,,,,,,,,,
10053,The Last Godfather,2010,100,"Comedy,Crime,Romance",3.7,1071,,,,,,,,,
10054,Guido Superstar: The Rise of Guido,2010,88,Comedy,5.3,33,,,,,,,,,
10055,Shahada,2010,88,Drama,6.3,338,,,,,,,,,
10056,We Are Young. We Are Strong.,2014,123,"Crime,Drama,History",7.1,1545,,,,,,,,,
10057,Reindeerspotting - Escape from Santaland,2010,84,Documentary,7.4,2850,,,,,,,,,
10058,Dark Space,2013,91,Sci-Fi,3.7,964,,,,,,,,,
10059,People I Could Have Been and Maybe Am,2010,55,"Biography,Documentary,Drama",7.5,67,,,,,,,,,
10060,Shado'man,2013,88,Documentary,7.8,8,,,,,,,,,
10061,Random Encounters,2013,93,"Comedy,Romance",4.8,316,,,,,,,,,
10062,El Más Buscado,2014,101,"Action,Crime",6.3,367,,,,,,,,,
10063,Narcissist,2013,92,"Comedy,Drama,Romance",8.6,36,,,,,,,,,
10064,Time and Place,2014,99,Drama,8.8,31,,,,,,,,,
10065,Dear Prudence,2010,80,Drama,5.9,767,,,,,,,,,
10066,Grand Central,2013,94,"Drama,Romance",6.2,2236,,,,,,,,,
10067,Planetarium,2016,105,"Drama,Fantasy,Mystery",4.6,2476,,,,,,,,,
10068,Ein Geschenk der Götter,2014,102,"Comedy,Drama",6.8,171,,,,,,,,,
10069,Miss Tacuarembó,2010,92,"Comedy,Drama,Musical",6.1,228,,,,,,,,,
10070,"I, Anna",2012,93,"Drama,Thriller",6,1768,,,,,,,,,
10071,How to Start Your Own Country,2010,72,"Documentary,News",6.6,79,,,,,,,,,
10072,Decline of an Empire,2014,110,"Biography,Drama,History",3.7,343,,,,,,,,,
10073,Jakten på Bernhard,2010,58,Documentary,7.8,64,,,,,,,,,
10074,Mumu,2010,95,"Comedy,Drama",6.3,198,,,,,,,,,
10075,All That Glitters,2010,100,Comedy,6.1,1873,,,,,,,,,
10076,Nous York,2012,98,Comedy,4.3,683,,,,,,,,,
10077,Un homme pressé,2018,100,"Comedy,Drama",6.3,448,,,,,,,,,
10078,All That Glitters,2010,100,Comedy,6.1,1873,,,,,,,,,
10079,Nous York,2012,98,Comedy,4.3,683,,,,,,,,,
10080,Apart Together,2010,97,Drama,7.1,269,,,,,,,,,
10081,I Saw the Devil,2010,142,"Action,Crime,Drama",7.8,94029,,,,,,,,,
10082,Jailbirds,2015,98,Drama,6.2,253,,,,,,,,,
10083,Of Gods and Men,2010,122,"Drama,History",7.2,13991,,,,,,,,,
10084,Portraits deutscher Alkoholiker,2010,79,Documentary,7.3,61,,,,,,,,,
10085,Schönheit,2011,84,Documentary,5.4,14,,,,,,,,,
10086,Brother,2010,97,"Drama,Family,Sport",7.4,2381,,,,,,,,,
10087,Mixed Match,2016,95,"Animation,Documentary",8.3,13,,,,,,,,,
10088,Sleeping Beauty,2011,101,"Drama,Romance,Thriller",5.3,29310,,,,,,,,,
10089,How I Ended This Summer,2010,130,Drama,7,6105,,,,,,,,,
10090,Mothers,2010,123,Drama,7.2,680,,,,,,,,,
10091,Uncle Boonmee Who Can Recall His Past Lives,2010,114,"Drama,Fantasy",6.7,11717,,,,,,,,,
10092,Cemetery of Splendor,2015,122,"Drama,Fantasy",6.8,3615,,,,,,,,,
10093,Aisheen (Still Alive in Gaza),2010,86,"Documentary,Family",7.8,51,,,,,,,,,
10094,Operation Libertad,2012,91,Drama,6.5,72,,,,,,,,,
10095,Spartans,2014,80,"Documentary,Drama",7.6,17,,,,,,,,,
10096,La valigia sul letto,2010,100,Comedy,5.3,54,,,,,,,,,
10097,"Sono un pirata, sono un signore",2013,90,Comedy,4.4,23,,,,,,,,,
10098,"If I Want to Whistle, I Whistle",2010,94,Drama,7.2,5737,,,,,,,,,
10099,Box,2015,93,"Drama,Romance",5.6,164,,,,,,,,,
10100,Hoffenheim - Das Leben ist kein Heimspiel,2010,94,Documentary,6.3,79,,,,,,,,,
10101,Confessions,2010,106,"Drama,Thriller",7.8,32144,,,,,,,,,
10102,The World of Kanako,2014,118,"Drama,Mystery,Thriller",6.6,3684,,,,,,,,,
10103,My Life with Carlos,2010,83,Documentary,8.3,43,,,,,,,,,
10104,The Raft,2018,97,Documentary,6.8,376,,,,,,,,,
10105,Mutant Girls Squad,2010,89,"Comedy,Fantasy,Horror",5.7,1524,,,,,,,,,
10106,Age of Heroes,2011,90,"Action,Adventure,Drama",5.6,9115,,,,,,,,,
10107,Romeo Eleven,2011,100,Drama,6.4,159,,,,,,,,,
10108,It Begins with the End,2010,88,Romance,5.5,217,,,,,,,,,
10109,The Way of the West,2011,81,"Drama,Western",4.7,501,,,,,,,,,
10110,100 Miles to 40,2010,67,Documentary,9,7,,,,,,,,,
10111,Maladies,2012,96,Drama,5.2,609,,,,,,,,,
10112,Zero 2,2010,90,"Comedy,Thriller",7.7,5328,,,,,,,,,
10113,Redirected,2014,99,"Action,Comedy,Crime",6.7,32666,,,,,,,,,
10114,Alien vs. Ninja,2010,80,"Action,Comedy,Fantasy",4.3,2063,,,,,,,,,
10115,Lockout,2012,95,"Action,Sci-Fi,Thriller",6.1,89554,,,,,,,,,
10116,Lockout,2012,95,"Action,Sci-Fi,Thriller",6.1,89554,,,,,,,,,
10117,The Black Power Mixtape 1967-1975,2011,100,"Documentary,History",7.6,1671,,,,,,,,,
10118,Concerning Violence,2014,90,"Documentary,Drama,History",7.4,572,,,,,,,,,
10119,The Guide,2011,94,Comedy,6,71,,,,,,,,,
10120,Todo lo que tú quieras,2010,101,Drama,6.7,468,,,,,,,,,
10121,Deine Schönheit ist nichts wert,2012,86,Drama,6.5,310,,,,,,,,,
10122,Swerve,2011,86,"Crime,Drama,Thriller",5.4,1661,,,,,,,,,
10123,My Ghost Story,2010,60,"Drama,Family,Horror",7.1,45,,,,,,,,,
10124,LOL,2012,97,"Comedy,Drama,Romance",4.4,51424,,,,,,,,,
10125,A Chance Encounter,2014,81,"Drama,Romance",6.3,2774,,,,,,,,,
10126,Dalida,2016,127,"Biography,Drama,Music",6.9,2088,,,,,,,,,
10127,Still Mine,2012,102,Drama,7.4,3681,,,,,,,,,
10128,Komeda: A Soundtrack for a Life,2010,52,Documentary,6.5,44,,,,,,,,,
10129,With Love... from the Age of Reason,2010,97,"Comedy,Romance",5.8,1658,,,,,,,,,
10130,The Canterville Ghost,2016,90,"Comedy,Fantasy,Romance",4.1,177,,,,,,,,,
10131,"L.A., I Hate You",2011,93,"Crime,Drama,Horror",3.7,192,,,,,,,,,
10132,Traceless,2010,95,"Crime,Drama,Thriller",6.4,1390,,,,,,,,,
10133,Seasons of a Life,2010,102,Drama,4.9,11,,,,,,,,,
10134,The Game Must Go On,2010,81,Documentary,6.5,24,,,,,,,,,
10135,The Game Must Go On,2010,81,Documentary,6.5,24,,,,,,,,,
10136,The Innkeepers,2011,101,"Drama,Horror,Mystery",5.5,31089,,,,,,,,,
10137,The Sacrament,2013,99,"Horror,Thriller",6.1,15420,,,,,,,,,
10138,Vakondok 2 - Demoscene,2011,90,Documentary,8.6,262,,,,,,,,,
10139,A Violent State,2011,80,"Crime,Drama,Thriller",6.4,43,,,,,,,,,
10140,Darfur,2010,9,"Documentary,News",7.4,13,,,,,,,,,
10141,The Monitor,2011,96,"Horror,Thriller",5.7,5117,,,,,,,,,
10142,A Viking Saga: The Darkest Day,2013,88,"Action,Adventure,Thriller",4.2,1227,,,,,,,,,
10143,Soul Surfer,2011,112,"Biography,Drama,Family",7.1,41659,,,,,,,,,
10144,The Take,2016,92,"Action,Crime,Drama",6.3,30968,,,,,,,,,
10145,Mara,2013,77,"Horror,Mystery,Thriller",3,200,,,,,,,,,
10146,Hayfever,2010,100,Romance,5.8,144,,,,,,,,,
10147,Grozny Blues,2015,104,"Documentary,History,War",7.3,223,,,,,,,,,
10148,Monument to Michael Jackson,2014,95,"Comedy,Drama",6.1,357,,,,,,,,,
10149,Compliance,2012,90,"Biography,Crime,Drama",6.4,28703,,,,,,,,,
10150,Vergiss mein nicht,2012,88,"Biography,Documentary,Family",7.5,388,,,,,,,,,
10151,Day of the Sparrow,2010,100,"Documentary,War",6.8,32,,,,,,,,,
10152,Havarie,2016,93,Documentary,6.5,31,,,,,,,,,
10153,"Meine Mutter, ein Krieg und ich",2014,,Documentary,6.2,6,,,,,,,,,
10154,Cleanskin,2012,108,"Action,Crime,Drama",6.3,19207,,,,,,,,,
